Hillclimbing step = 1	Hillclimbing step = 0.5	Steepest Ascent HillClimbing step = 1	Steepest Ascent HillClimbing step = 0.5	Random Restart HillClimbing step = 1	Random Restart HillClimbing step = 0.5	SimulatedAnnealing alpha = 0.993 using t1	SimulatedAnnealing alpha = 0.993 using t2	SimulatedAnnealing alpha = 0.987 using t1	SimulatedAnnealing alpha = 0.987 using t2
-30.245551528417128	-29.217209556249507	-31.1476352496854	-29.50473705299222	-31.343913189823194	-30.030162527476012	-30.10432483700223	-29.79746051515503	-28.36679417323637	-28.78712098715054
-31.854851445514036	-30.107287741099594	-34.4412191858159	-31.18096311362654	-34.63783250767948	-31.703433533094493	-32.79380637684158	-31.221150295496734	-29.01477322366743	-29.645167698082485
-33.273715714187276	-30.952732245634813	-37.63824268722158	-32.83779393400589	-37.834010898755	-33.356533761828764	-34.67778110049918	-32.35571522519477	-30.34207401254475	-30.16252503081558
-34.493612932327395	-31.752243794474918	-40.72027374977458	-34.47280284128715	-40.91404237077093	-34.987048013107895	-34.98092663653049	-33.77075550478502	-30.844760944298724	-31.18298863712335
-35.507467660687844	-32.50459636589058	-43.66974803809443	-36.08361069930381	-43.860394033328646	-36.59260947795987	-35.68543853871489	-35.0691278265471	-32.08179247696019	-32.59752802566372
-36.30983034167085	-33.208642185984075	-46.47003107406107	-37.66788830769097	-46.65646779604335	-38.17090209622808	-37.262077694327644	-36.401081963851176	-32.916312898790025	-32.873251022046134
-36.897051169888336	-33.86331681145542	-49.10547240586541	-39.223358666857436	-49.28665405941939	-39.719662780186816	-37.54819220834818	-37.77999610084727	-34.33589761732963	-33.23620857310889
-37.26745689854556	-34.46764429605585	-51.56145206190318	-40.747799110923346	-51.7363777040493	-41.236683506702846	-37.98250303412634	-38.48088224571057	-35.23559755738492	-33.68759800008103
-37.42152937214415	-35.02074243530407	-53.82441960405994	-42.23904331081301	-53.99213669374891	-42.71981328015692	-38.40948147156215	-38.93070915978171	-35.57805834442049	-33.930574528929654
-40.173826686461915	-35.52182808347915	-55.88192610260794	-43.69498314975496	-56.04153361572476	-44.166959968401464	-38.42292099986214	-38.9725850419958	-35.923561438659284	-34.392957927524506
-43.489308857588256	-35.970222536304945	-57.7226493603179	-45.113570473498704	-57.873300486081675	-45.57609201408408	-40.212440980163315	-39.18228486537932	-36.405389648140286	-34.61821835959928
-46.64395554454355	-36.365356972101665	-59.33641271672711	-46.49281871760834	-59.477317152166506	-46.94524002371609	-40.385365810215774	-39.18228486537932	-36.4959773775059	-36.1916128957743
-49.61944062296835	-36.706777943497826	-60.71419776502925	-47.83080441423773	-60.84462362463137	-48.27249823690833	-40.46133999284695	-39.29760793686698	-36.8990003907578	-37.10065367388422
-52.398772901094745	-36.99415291106684	-61.8509128766522	-49.12566858083247	-61.970158104775486	-49.55602587823394	-41.427035421677445	-39.36143456756419	-37.34505332001802	-37.518693794058926
-54.96632568078191	-37.22727580947496	-62.819157831892596	-50.375617993237135	-62.92873241591705	-50.79404839421054	-41.952631227946554	-39.36143456756419	-38.1460110393156	-38.11103155436789
-57.307858205660445	-37.406072635894574	-63.70152196736442	-51.578926345717036	-63.80201617971844	-51.98485857792284	-42.853787027520895	-39.36143456756419	-39.25587117823303	-38.26225643930206
-59.18507885510394	-37.53060704954832	-64.48793497534064	-52.733935300427696	-64.57794036813019	-53.1268175838293	-43.21277134813534	-39.68932483478595	-39.33094923541658	-39.00642409044566
-60.8587955026162	-37.60108597029798	-65.17071904002093	-53.83905542888692	-65.24681962394433	-54.2183558353164	-43.220325547743045	-40.14645174208498	-40.196975150365404	-39.384566019769444
-62.50466081136892	-38.315762952911285	-65.73683097316824	-54.89276704801988	-65.79814719176697	-55.25797382757886	-43.220325547743045	-40.37661187592077	-40.36173848778212	-39.399879853336444
-63.88405147613147	-39.68414400921405	-66.17831021336198	-55.893620953361484	-66.22175743280721	-56.24424282841595	-43.38756895100592	-40.64347589463485	-40.63369394825093	-39.60481611601185
-64.60765448270648	-41.37117076983845	-66.50204149615627	-56.84023905200826	-66.5426712188258	-57.17580547954159	-43.50272759621338	-40.64347589463485	-41.09794287063323	-39.69121191237291
-65.47773253932633	-43.0210845620479	-66.72478574356747	-57.73131489791873	-66.7484406868781	-58.05137630101069	-43.50272759621338	-40.64347589463485	-41.32421244257906	-40.041839001934974
-66.05124401373203	-44.631448854562954	-66.81652418758793	-58.56561413216282	-66.81976878879732	-58.86974210136559	-43.50272759621338	-40.64347589463485	-41.90163645958842	-40.041839001934974
-66.56318085629076	-46.199907865854456	-66.8291566398367	-59.34197483072084	-63.33860829289724	-59.6297622961044	-43.73285802982945	-40.68424356902999	-42.01241376580712	-40.64894137150967
-66.78802840999741	-47.72418786654623	-66.82025137450556	-60.059307762428695	-39.054332676045206	-60.330369137069226	-44.03950680099243	-40.70387906065626	-42.16559289793885	-40.64894137150967
-66.80412157252368	-49.20209834074835	-66.82025137450556	-60.71659655966033	-34.400254236147724	-60.97056785534496	-44.33391582526039	-40.7929080314911	-42.16559289793885	-40.750274958455364
